ID link,in_mine,in_BauschFluck,in_Town,in_DiazRamos,in_daCunha
D3W0D1,1,1,1,0,0
E2RYF6,1,1,1,0,0
E5RHQ5,0,0,1,0,0
E5RIL1,1,0,0,0,0
E7ERA6,0,0,1,0,0
F2Z333,1,1,1,0,0
F5H4A9,0,1,0,0,0
F7VJQ1,0,0,1,1,1
G3V0H7,1,1,1,0,0
H0YL14,0,0,1,0,0
H3BP43,1,0,0,0,0
H3BQJ8,1,0,0,0,0
H3BQS5,1,0,0,0,0
H3BR10,0,0,1,0,0
H3BS89,0,1,0,0,0
H3BV60,1,0,1,0,0
H7C241,1,0,0,0,0
I3L273,1,1,1,0,0
I3L348,1,0,0,0,0
I3L4H3,1,0,0,0,0
I6L9A1,0,0,0,0,1
I6L9A9,0,0,0,0,1
J3QLL2,1,0,0,0,0
K7EJ46,0,0,1,0,0
L0R8F8,0,0,1,0,0
M0QZC1,0,0,1,0,0
O00124,0,0,1,0,1
O00144,1,1,1,1,1
O00155,1,1,1,0,1
O00168,1,0,1,1,1
O00180,1,0,1,0,1
O00198,0,0,1,0,1
O00206,1,1,1,1,1
O00219,1,0,1,0,1
O00220,1,1,1,1,1
O00222,1,1,1,0,1
O00237,0,0,0,0,1
O00238,1,0,1,1,1
O00241,1,1,1,1,1
O00254,1,1,1,1,1
O00255,0,0,1,0,0
O00264,0,0,1,0,0
O00270,1,1,0,0,1
O00299,0,0,1,0,0
O00300,0,0,0,1,0
O00322,1,1,1,0,1
O00337,1,1,1,1,1
O00341,1,1,1,0,1
O00391,0,1,1,0,1
O00398,1,1,0,1,1
O00400,1,1,0,0,1
O00421,1,1,1,1,1
O00444,0,0,1,0,0
O00445,0,0,1,0,1
O00451,1,1,0,0,0
O00453,0,0,1,1,0
O00461,0,0,1,0,0
O00468,0,0,1,0,0
O00476,0,0,1,0,1
O00478,1,1,1,1,1
O00481,1,1,1,1,1
O00501,1,0,1,0,1
O00519,0,0,1,0,0
O00526,0,1,1,0,1
O00533,1,1,1,1,1
O00548,1,1,1,1,1
O00555,1,0,1,0,0
O00559,1,0,1,0,0
O00560,0,0,0,0,1
O00562,0,0,1,0,0
O00574,1,1,1,1,1
O00587,0,0,1,0,0
O00590,1,1,1,1,1
O00591,1,1,1,0,1
O00592,1,1,1,1,1
O00602,0,0,1,0,0
O00623,0,0,1,0,0
